Log
"Candle 21382: time=2025-06-10 00:00:00, high=110311.82, low=109909.54, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21383: time=2025-06-10 01:00:00, high=109953.98, low=109648.29, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21384: time=2025-06-10 02:00:00, high=109788.58, low=109381.24, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21385: time=2025-06-10 03:00:00, high=109684.89, low=109382.38, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21386: time=2025-06-10 04:00:00, high=109649.98, low=109366.0, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21387: time=2025-06-10 05:00:00, high=109737.68, low=109200.0, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21388: time=2025-06-10 06:00:00, high=109650.0, low=109161.0, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21389: time=2025-06-10 07:00:00, high=109517.16, low=109095.67, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21390: time=2025-06-10 08:00:00, high=109415.1, low=109056.9, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21391: time=2025-06-10 09:00:00, high=109521.84, low=109065.14, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21392: time=2025-06-10 10:00:00, high=109573.3, low=109275.43, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21393: time=2025-06-10 11:00:00, high=109851.8, low=109199.81, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21394: time=2025-06-10 12:00:00, high=109700.0, low=109415.62, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21395: time=2025-06-10 13:00:00, high=109900.81, low=108888.88, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21396: time=2025-06-10 14:00:00, high=109332.45, low=108468.29, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21397: time=2025-06-10 15:00:00, high=109199.99, low=108331.03, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=107179.7"
"Candle 21398: time=2025-06-10 16:00:00, high=109251.41, low=108690.59, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111195.7284"
"Candle 21399: time=2025-06-10 17:00:00, high=109064.06, low=108616.68, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111195.7284"
"Candle 21400: time=2025-06-10 18:00:00, high=109480.67, low=108518.86, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111195.7284"
"Candle 21401: time=2025-06-10 19:00:00, high=110400.0, low=109282.37, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111195.7284"
"Candle 21402: time=2025-06-10 20:00:00, high=110018.07, low=109239.68, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111195.7284"
"Candle 21403: time=2025-06-10 21:00:00, high=110000.0, low=109420.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=111195.7284"
"Candle 21404: time=2025-06-10 22:00:00, high=110181.1, low=109610.4, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107665.8086"
"Candle 21405: time=2025-06-10 23:00:00, high=110299.73, low=109600.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107665.8086"
"Candle 21406: time=2025-06-11 00:00:00, high=110274.4, low=109780.0, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107665.8086"
"Candle 21407: time=2025-06-11 01:00:00, high=109832.94, low=109565.1, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107665.8086"
"Candle 21408: time=2025-06-11 02:00:00, high=109858.22, low=109533.97, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107665.8086"
"Candle 21409: time=2025-06-11 03:00:00, high=109858.23, low=109622.03, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107665.8086"
"Candle 21410: time=2025-06-11 04:00:00, high=109735.24, low=109552.68, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107665.8086"
