time,open,high,low,close,Buy4,Sell4,LONG,SHORT,buy atr,Sell ATR,Volume,ADX Trên Threshold,ADX Dưới Threshold,Ngưỡng Threshold,RROF Smooth,Signal Line,Buy4,Sell4,buy atr,Sell ATR
2024-03-16T19:00:00+07:00,0.02035,0.0285,0.019899,0.023356,0,0,0,0,0,0,28320532719,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-16T23:00:00+07:00,0.023356,0.024666,0.016292,0.019546,0,0,0,0,0,0,32109764516,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-17T03:00:00+07:00,0.019546,0.021789,0.017707,0.020814,0,0,0,0,0,0,17491554674,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-17T07:00:00+07:00,0.020815,0.02491,0.020362,0.022189,0,0,0,0,0,0,17131172108,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-17T11:00:00+07:00,0.02219,0.022242,0.018118,0.020442,0,0,0,0,0,0,17799588024,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-17T15:00:00+07:00,0.020443,0.020863,0.016752,0.016979,0,0,0,0,0,0,18050487767,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-17T19:00:00+07:00,0.016979,0.017832,0.014833,0.017234,0,0,0,0,0,0,30921399569,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-17T23:00:00+07:00,0.017227,0.0185,0.016501,0.017843,0,0,0,0,0,0,15805450779,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-18T03:00:00+07:00,0.017843,0.019785,0.01631,0.018432,0,0,0,0,0,0,12729870263,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-18T07:00:00+07:00,0.018434,0.019404,0.0173,0.017939,0,0,0,0,0,0,12357561661,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-18T11:00:00+07:00,0.017938,0.018733,0.015812,0.015913,0,0,0,0,0,0,12850396467,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-18T15:00:00+07:00,0.015913,0.016071,0.0123,0.013705,0,0,0,0,0,0,49381959798,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-18T19:00:00+07:00,0.013707,0.014203,0.012111,0.012841,0,0,0,0,0,0,34828702588,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-18T23:00:00+07:00,0.012842,0.013232,0.01052,0.011189,0,0,0,0,0,0,39327978975,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-19T03:00:00+07:00,0.01119,0.011993,0.00967,0.010644,0,0,0,0,0,0,24832912330,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-19T07:00:00+07:00,0.010646,0.011476,0.00888,0.009827,0,0,0,0,0,0,42873747956,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-19T11:00:00+07:00,0.009826,0.012287,0.008768,0.012171,0,0,0,0,0,0,62683074310,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-19T15:00:00+07:00,0.012171,0.01232,0.010302,0.01161,0,0,0,0,0,0,42730767755,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-19T19:00:00+07:00,0.011608,0.0122,0.010275,0.011436,0,0,0,0,0,0,32285951230,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-19T23:00:00+07:00,0.011434,0.01359,0.01123,0.012086,0,0,0,0,0,0,36893700933,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-20T03:00:00+07:00,0.012085,0.012112,0.010512,0.011276,0,0,0,0,0,0,22282180670,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-20T07:00:00+07:00,0.011277,0.012914,0.01105,0.012439,0,0,0,0,0,0,27399925826,NaN,NaN,0,NaN,NaN,0,0,0,0
2024-03-20T11:00:00+07:00,0.012439,0.012789,0.011182,0.012207,0,0,0,0,0,0,29073175684,NaN,NaN,0,1.5604633241200159,NaN,0,0,0,0
2024-03-20T15:00:00+07:00,0.012206,0.01248,0.011511,0.011741,0,0,0,0,0,0,18970518157,NaN,NaN,0,1.6984259260217525,NaN,0,0,0,0
2024-03-20T19:00:00+07:00,0.011741,0.011901,0.01067,0.010805,0,0,0,1,0,0,26958073440,NaN,NaN,0,-7.58326891257962,NaN,0,0,0,0
2024-03-20T23:00:00+07:00,0.010805,0.012236,0.010647,0.011963,0,0,0,0,0,0,20601050066,NaN,NaN,0,-6.760692639762502,NaN,0,0,0,0
2024-03-21T03:00:00+07:00,0.011967,0.01284,0.011746,0.012014,0,0,0,0,0,0,14922957849,NaN,NaN,0,-7.0685126578068225,-5.345188360643963,0,0,0,0
2024-03-21T07:00:00+07:00,0.012012,0.012232,0.011201,0.011282,0,0,0,0,0,0,13661784147,15.114193114135965,NaN,0,-11.479724125269465,-7.961524071733307,0,0,0,0
2024-03-21T11:00:00+07:00,0.011283,0.011985,0.010971,0.011724,0,0,0,0,0,0,12134247172,14.536504766391722,NaN,0,-12.478638513546574,-10.04148541562239,0,0,0,0
2024-03-21T15:00:00+07:00,0.011722,0.012148,0.011206,0.011503,0,0,0,0,0,0,11390840467,13.865651850697652,NaN,0,-13.036613644050718,-11.362300840374962,0,0,0,0
2024-03-21T19:00:00+07:00,0.011504,0.0149,0.0115,0.014593,0,0,0,0,0,0,50611201803,11.329289031486475,NaN,0,-1.068977581088655,-8.330347928708774,0,0,0,0
2024-03-21T23:00:00+07:00,0.014588,0.014686,0.012804,0.013261,1,0,1,0,0,0,21563967746,8.974094985076093,NaN,0,4.506472461651788,-3.819359340040697,1,0,0,0
2024-03-22T03:00:00+07:00,0.013258,0.014082,0.012978,0.013835,0,0,0,0,0,0,11259457251,6.787129084837879,NaN,0,10.190928335395071,1.8147821985779025,0,0,0,0
2024-03-22T07:00:00+07:00,0.013835,0.01488,0.013038,0.014863,0,0,0,0,0,0,17076633053,4.789027224678655,NaN,0,18.63843590166837,8.820049428576631,0,0,0,0
2024-03-22T11:00:00+07:00,0.014862,0.016879,0.0146,0.015693,0,0,0,0,0,0,33972250878,4.01675428202169,NaN,0,27.82002227435788,16.811373821790866,0,0,0,0
2024-03-22T15:00:00+07:00,0.015694,0.0165,0.014713,0.014826,0,0,0,0,0,0,26436411311,3.299643692411653,NaN,0,28.27697142910358,22.23123887202643,0,0,0,0
2024-03-22T19:00:00+07:00,0.014827,0.015228,0.013332,0.014567,0,0,0,0,0,0,35720085833,1.6807078763746723,NaN,0,26.53075900257037,25.112636512738106,0,0,0,0
2024-03-22T23:00:00+07:00,0.014567,0.01494,0.014016,0.014569,0,0,0,0,0,0,14208627053,0.17741033291175867,NaN,0,24.346709549431637,25.797731899675632,0,0,0,0
2024-03-23T03:00:00+07:00,0.014572,0.014782,0.013912,0.014643,0,0,0,0,0,0,9224684331,NaN,-1.2916955992713994,0,23.886290269689578,25.385635445763373,0,0,0,0
2024-03-23T07:00:00+07:00,0.014644,0.015557,0.014015,0.014646,0,0,0,0,0,0,14633835688,NaN,-2.163793812217378,0,22.95438140397787,24.31304574541246,0,0,0,0
2024-03-23T11:00:00+07:00,0.014647,0.0155,0.014553,0.015265,0,0,0,0,0,0,9794231800,NaN,-2.9735992956672135,0,25.00837049157795,24.249495132286906,0,0,0,0
2024-03-23T15:00:00+07:00,0.015266,0.015433,0.014096,0.014341,0,0,0,0,0,0,12131726752,NaN,-4.1003988635983575,0,20.22026836694779,22.807817206786346,0,0,0,0
2024-03-23T19:00:00+07:00,0.014342,0.014847,0.014236,0.01451,0,0,0,0,0,0,10666746970,NaN,-5.146712748105848,0,17.248337907254534,20.796195170429534,0,0,0,0
2024-03-23T23:00:00+07:00,0.01451,0.014682,0.014207,0.014314,0,0,0,0,0,0,6515619625,NaN,-6.144487162612279,0,13.197140482327075,17.907398768575376,0,0,0,0
2024-03-24T03:00:00+07:00,0.014314,0.014385,0.013855,0.013917,0,0,0,0,0,0,5272469283,NaN,-7.397517046088954,0,7.191866165641796,13.729454246983627,0,0,0,0
2024-03-24T07:00:00+07:00,0.013918,0.014119,0.012823,0.012967,0,0,0,1,0,0,12949387641,NaN,-7.880521104188553,0,-3.2926258526495054,7.107513401850516,0,0,0,0
