time,open,high,low,close,ADX Trên Threshold,ADX Dưới Threshold,Ngưỡng Threshold,RROF Smooth,Signal Line,Buy4,Sell4,RSI,RSI Fast MA,RSI Slow MA,Histogram,MACD,Signal
2024-01-01T07:00:00+07:00,0.0012956,0.0013062,0.0012931,0.0013004,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T07:30:00+07:00,0.0013003,0.0013082,0.0012986,0.0013061,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T08:00:00+07:00,0.001306,0.0013151,0.0013017,0.0013147,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T08:30:00+07:00,0.0013149,0.0013242,0.0013138,0.0013152,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T09:00:00+07:00,0.0013151,0.0013182,0.0013107,0.0013141,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T09:30:00+07:00,0.001314,0.0013169,0.0013011,0.0013044,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T10:00:00+07:00,0.0013043,0.001306,0.0012896,0.0012931,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T10:30:00+07:00,0.0012931,0.0012959,0.0012792,0.001287,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T11:00:00+07:00,0.0012869,0.0012926,0.001263,0.0012713,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T11:30:00+07:00,0.0012712,0.0012826,0.0012696,0.0012807,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T12:00:00+07:00,0.0012807,0.0012898,0.0012766,0.0012855,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T12:30:00+07:00,0.0012856,0.0012881,0.0012774,0.0012813,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T13:00:00+07:00,0.0012813,0.0012867,0.001277,0.0012853,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T13:30:00+07:00,0.0012853,0.001292,0.0012852,0.0012893,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-01T14:00:00+07:00,0.0012893,0.0012973,0.0012893,0.0012972,NaN,NaN,0,NaN,NaN,0,0,48.2795698924732,NaN,NaN,NaN,NaN,NaN
2024-01-01T14:30:00+07:00,0.0012973,0.0013048,0.0012963,0.0013003,NaN,NaN,0,NaN,NaN,0,0,50.07186202491213,NaN,NaN,NaN,NaN,NaN
2024-01-01T15:00:00+07:00,0.0013003,0.0013037,0.0012947,0.0012957,NaN,NaN,0,NaN,NaN,0,0,47.44453756081671,NaN,NaN,NaN,NaN,NaN
2024-01-01T15:30:00+07:00,0.0012959,0.0012995,0.0012951,0.0012993,NaN,NaN,0,NaN,NaN,0,0,49.670274738183316,NaN,NaN,NaN,NaN,NaN
