Trade #,Type,Signal,Date/Time,Price USDT,Quantity,P&L USDT,P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
394,Entry short,SHORT,2025-06-23 21:30,"101,766.8",9.45024,-1838.07,-0.19%,2958.87,0.31%,-2341.77,-0.24%,-40117.3,-0.19%
395,Exit long,SHORT,2025-06-24 02:35,"102,665.8",9.467624,12117.61,1.26%,17872.98,1.86%,-358.82,-0.04%,-27999.68,1.26%
395,Entry long,LONG,2025-06-24 00:20,"101,385.9",9.467624,12117.61,1.26%,17872.98,1.86%,-358.82,-0.04%,-27999.68,1.26%
396,Exit short,LONG,2025-06-24 03:00,"103,114.2",9.467615,-4245.28,-0.44%,432.67,0.04%,-5000.79,-0.51%,-32244.96,-0.44%
396,Entry short,SHORT,2025-06-24 02:35,"102,665.8",9.467615,-4245.28,-0.44%,432.67,0.04%,-5000.79,-0.51%,-32244.96,-0.44%
397,Exit long,SHORT,2025-06-24 04:55,"103,634.8",9.385274,4885.97,0.50%,9922.11,1.03%,-2776.16,-0.29%,-27358.99,0.50%
397,Entry long,LONG,2025-06-24 03:00,"103,114.2",9.385274,4885.97,0.50%,9922.11,1.03%,-2776.16,-0.29%,-27358.99,0.50%
398,Exit short,Close entry(s) order SHORT,2025-06-24 05:05,"104,269.2",9.385274,-5954.02,-0.61%,11.26,0.00%,-6252.47,-0.64%,-33313.01,-0.61%
398,Entry short,SHORT,2025-06-24 04:55,"103,634.8",9.385274,-5954.02,-0.61%,11.26,0.00%,-6252.47,-0.64%,-33313.01,-0.61%
399,Exit long,SHORT,2025-06-24 07:15,"105,179.8",9.168915,-2303.23,-0.24%,727.1,0.08%,-2303.23,-0.24%,-35616.24,-0.24%
399,Entry long,LONG,2025-06-24 06:55,"105,431.0",9.168915,-2303.23,-0.24%,727.1,0.08%,-2303.23,-0.24%,-35616.24,-0.24%
400,Exit short,Close entry(s) order SHORT,2025-06-24 09:00,"105,383.5",9.168906,-1867.71,-0.19%,3016.57,0.31%,-2391.25,-0.25%,-37483.94,-0.19%
400,Entry short,SHORT,2025-06-24 07:15,"105,179.8",9.168906,-1867.71,-0.19%,3016.57,0.31%,-2391.25,-0.25%,-37483.94,-0.19%
401,Exit long,SHORT,2025-06-24 14:40,"105,122.4",9.123374,-3444.99,-0.36%,2517.14,0.26%,-4333.6,-0.45%,-40928.93,-0.36%
401,Entry long,LONG,2025-06-24 13:35,"105,500.0",9.123374,-3444.99,-0.36%,2517.14,0.26%,-4333.6,-0.45%,-40928.93,-0.36%
402,Exit short,LONG,2025-06-24 16:20,"105,161.2",9.123374,-353.99,-0.04%,5032.45,0.52%,-1268.15,-0.13%,-41282.92,-0.04%
402,Entry short,SHORT,2025-06-24 14:40,"105,122.4",9.123374,-353.99,-0.04%,5032.45,0.52%,-1268.15,-0.13%,-41282.92,-0.04%
403,Exit long,SHORT,2025-06-24 17:00,"105,152.0",9.11666,-83.87,-0.01%,3316.64,0.35%,-448.54,-0.05%,-41366.79,-0.01%
403,Entry long,LONG,2025-06-24 16:20,"105,161.2",9.11666,-83.87,-0.01%,3316.64,0.35%,-448.54,-0.05%,-41366.79,-0.01%
404,Exit short,Close entry(s) order SHORT,2025-06-24 17:40,"105,305.0",9.116642,-1394.85,-0.15%,1159.64,0.12%,-1496.95,-0.16%,-42761.64,-0.15%
404,Entry short,SHORT,2025-06-24 17:00,"105,152.0",9.116642,-1394.85,-0.15%,1159.64,0.12%,-1496.95,-0.16%,-42761.64,-0.15%
405,Exit long,Close entry(s) order LONG,2025-06-25 01:25,"105,753.1",9.02986,-2302.61,-0.24%,665.5,0.07%,-3948.76,-0.41%,-45064.25,-0.24%
405,Entry long,LONG,2025-06-25 00:50,"106,008.1",9.02986,-2302.61,-0.24%,665.5,0.07%,-3948.76,-0.41%,-45064.25,-0.24%
406,Exit short,Close entry(s) order SHORT,2025-06-25 16:05,"106,599.3",8.981958,-2535.61,-0.27%,273.95,0.03%,-3308.06,-0.35%,-47599.86,-0.27%
406,Entry short,SHORT,2025-06-25 15:35,"106,317.0",8.981958,-2535.61,-0.27%,273.95,0.03%,-3308.06,-0.35%,-47599.86,-0.27%
407,Exit short,Close entry(s) order SHORT,2025-06-25 17:15,"106,670.6",8.943404,-1598.19,-0.17%,450.75,0.05%,-2003.32,-0.21%,-49198.04,-0.17%
407,Entry short,SHORT,2025-06-25 16:50,"106,491.9",8.943404,-1598.19,-0.17%,450.75,0.05%,-2003.32,-0.21%,-49198.04,-0.17%
408,Exit long,Close entry(s) order LONG,2025-06-25 23:50,"106,948.1",8.859982,-3242.75,-0.34%,1195.21,0.13%,-3511.21,-0.37%,-52440.8,-0.34%
408,Entry long,LONG,2025-06-25 23:15,"107,314.1",8.859982,-3242.75,-0.34%,1195.21,0.13%,-3511.21,-0.37%,-52440.8,-0.34%
409,Exit long,SHORT,2025-06-26 10:25,"107,826.6",8.76109,-2880.65,-0.30%,773.6,0.08%,-3244.23,-0.34%,-55321.44,-0.30%
409,Entry long,LONG,2025-06-26 10:05,"108,155.4",8.76109,-2880.65,-0.30%,773.6,0.08%,-3244.23,-0.34%,-55321.44,-0.30%
410,Exit short,Close entry(s) order SHORT,2025-06-26 13:15,"107,698.8",8.76109,1119.67,0.12%,3145.23,0.33%,-791.13,-0.08%,-54201.78,0.12%
410,Entry short,SHORT,2025-06-26 10:25,"107,826.6",8.76109,1119.67,0.12%,3145.23,0.33%,-791.13,-0.08%,-54201.78,0.12%
411,Exit short,LONG,2025-06-26 18:05,"107,343.9",8.816716,-623.34,-0.07%,47.61,0.01%,-738.84,-0.08%,-54825.12,-0.07%
411,Entry short,SHORT,2025-06-26 17:55,"107,273.2",8.816716,-623.34,-0.07%,47.61,0.01%,-738.84,-0.08%,-54825.12,-0.07%
412,Exit long,Close entry(s) order LONG,2025-06-26 18:10,"107,265.4",8.80511,-691.2,-0.07%,0,0.00%,-707.93,-0.07%,-55516.32,-0.07%
412,Entry long,LONG,2025-06-26 18:05,"107,343.9",8.80511,-691.2,-0.07%,0,0.00%,-707.93,-0.07%,-55516.32,-0.07%
413,Exit long,SHORT,2025-06-26 19:25,"107,043.1",8.801048,-2391.24,-0.25%,572.95,0.06%,-2461.65,-0.26%,-57907.56,-0.25%
413,Entry long,LONG,2025-06-26 19:05,"107,314.8",8.801048,-2391.24,-0.25%,572.95,0.06%,-2461.65,-0.26%,-57907.56,-0.25%
414,Exit short,Close entry(s) order SHORT,2025-06-26 21:30,"107,190.0",8.801057,-1292.88,-0.14%,2657.04,0.28%,-2404.45,-0.26%,-59200.44,-0.14%
414,Entry short,SHORT,2025-06-26 19:25,"107,043.1",8.801057,-1292.88,-0.14%,2657.04,0.28%,-2404.45,-0.26%,-59200.44,-0.14%
415,Exit long,SHORT,2025-06-27 05:45,"106,900.0",8.79044,-1100.56,-0.12%,247.89,0.03%,-1101.44,-0.12%,-60301,-0.12%
415,Entry long,LONG,2025-06-27 05:35,"107,025.2",8.79044,-1100.56,-0.12%,247.89,0.03%,-1101.44,-0.12%,-60301,-0.12%
416,Exit short,Close entry(s) order SHORT,2025-06-27 07:10,"107,039.5",8.790448,-1226.27,-0.13%,782.35,0.08%,-1330.87,-0.14%,-61527.27,-0.13%
416,Entry short,SHORT,2025-06-27 05:45,"106,900.0",8.790448,-1226.27,-0.13%,782.35,0.08%,-1330.87,-0.14%,-61527.27,-0.13%
417,Exit short,LONG,2025-06-28 02:15,"106,799.0",8.758233,3103.04,0.33%,6831.42,0.73%,-781.23,-0.08%,-58424.23,0.33%
417,Entry short,SHORT,2025-06-28 00:15,"107,153.3",8.758233,3103.04,0.33%,6831.42,0.73%,-781.23,-0.08%,-58424.23,0.33%
418,Exit long,Close entry(s) order LONG,2025-06-28 05:00,"106,998.5",8.816318,1758.86,0.19%,3818.35,0.41%,-1439.7,-0.15%,-56665.37,0.19%
418,Entry long,LONG,2025-06-28 02:15,"106,799.0",8.816318,1758.86,0.19%,3818.35,0.41%,-1439.7,-0.15%,-56665.37,0.19%
419,Exit long,SHORT,2025-06-28 15:20,"107,324.3",8.796144,705.45,0.07%,1885.01,0.20%,-401.98,-0.04%,-55959.92,0.07%
419,Entry long,LONG,2025-06-28 12:15,"107,244.1",8.796144,705.45,0.07%,1885.01,0.20%,-401.98,-0.04%,-55959.92,0.07%
420,Exit short,Close entry(s) order SHORT,2025-06-28 18:50,"107,287.5",8.796144,323.7,0.03%,1139.98,0.12%,-977.25,-0.10%,-55636.22,0.03%
420,Entry short,SHORT,2025-06-28 15:20,"107,324.3",8.796144,323.7,0.03%,1139.98,0.12%,-977.25,-0.10%,-55636.22,0.03%
421,Exit short,Close entry(s) order SHORT,2025-06-29 00:40,"107,335.3",8.799185,-99.43,-0.01%,1026.86,0.11%,-173.34,-0.02%,-55735.66,-0.01%
421,Entry short,SHORT,2025-06-28 23:40,"107,324.0",8.799185,-99.43,-0.01%,1026.86,0.11%,-173.34,-0.02%,-55735.66,-0.01%
422,Exit long,Close entry(s) order LONG,2025-06-29 06:15,"107,275.0",8.808148,629.78,0.07%,1068.43,0.11%,-218.44,-0.02%,-55105.87,0.07%
422,Entry long,LONG,2025-06-29 04:30,"107,203.5",8.808148,629.78,0.07%,1068.43,0.11%,-218.44,-0.02%,-55105.87,0.07%
423,Exit long,SHORT,2025-06-29 08:10,"107,365.1",8.79332,-798.43,-0.08%,71.23,0.01%,-798.43,-0.08%,-55904.3,-0.08%
423,Entry long,LONG,2025-06-29 07:50,"107,455.9",8.79332,-798.43,-0.08%,71.23,0.01%,-798.43,-0.08%,-55904.3,-0.08%
424,Exit short,LONG,2025-06-29 10:00,"107,252.1",8.79332,993.65,0.11%,2220.31,0.24%,-249.73,-0.03%,-54910.66,0.11%
424,Entry short,SHORT,2025-06-29 08:10,"107,365.1",8.79332,993.65,0.11%,2220.31,0.24%,-249.73,-0.03%,-54910.66,0.11%
425,Exit long,Close entry(s) order LONG,2025-06-29 10:10,"107,219.8",8.811832,-284.62,-0.03%,0.88,0.00%,-384.2,-0.04%,-55195.28,-0.03%
425,Entry long,LONG,2025-06-29 10:00,"107,252.1",8.811832,-284.62,-0.03%,0.88,0.00%,-384.2,-0.04%,-55195.28,-0.03%
426,Exit short,LONG,2025-06-29 15:00,"107,367.3",8.805213,-588.19,-0.06%,269.44,0.03%,-634.86,-0.07%,-55783.47,-0.06%
426,Entry short,SHORT,2025-06-29 14:35,"107,300.5",8.805213,-588.19,-0.06%,269.44,0.03%,-634.86,-0.07%,-55783.47,-0.06%
427,Exit long,Close entry(s) order LONG,2025-06-29 19:40,"108,133.4",8.794281,6737.3,0.71%,9952.49,1.05%,-138.07,-0.01%,-49046.17,0.71%
427,Entry long,LONG,2025-06-29 15:00,"107,367.3",8.794281,6737.3,0.71%,9952.49,1.05%,-138.07,-0.01%,-49046.17,0.71%
428,Exit short,LONG,2025-06-30 01:10,"107,459.8",8.817897,3384.31,0.36%,5383.33,0.57%,0,0.00%,-45661.86,0.36%
428,Entry short,SHORT,2025-06-29 22:45,"107,843.6",8.817897,3384.31,0.36%,5383.33,0.57%,0,0.00%,-45661.86,0.36%
429,Exit long,Close entry(s) order LONG,2025-06-30 02:40,"107,426.0",8.880885,-300.17,-0.03%,1796.6,0.19%,-641.2,-0.07%,-45962.04,-0.03%
429,Entry long,LONG,2025-06-30 01:10,"107,459.8",8.880885,-300.17,-0.03%,1796.6,0.19%,-641.2,-0.07%,-45962.04,-0.03%
430,Exit long,Close entry(s) order LONG,2025-06-30 09:05,"108,430.0",8.780845,-1930.91,-0.20%,1176.63,0.12%,-2639.52,-0.28%,-47892.94,-0.20%
430,Entry long,LONG,2025-06-30 07:25,"108,649.9",8.780845,-1930.91,-0.20%,1176.63,0.12%,-2639.52,-0.28%,-47892.94,-0.20%
431,Exit short,LONG,2025-06-30 17:50,"107,564.0",8.804108,5101.98,0.54%,7250.18,0.76%,-1040.65,-0.11%,-42790.96,0.54%
431,Entry short,SHORT,2025-06-30 12:35,"108,143.5",8.804108,5101.98,0.54%,7250.18,0.76%,-1040.65,-0.11%,-42790.96,0.54%
432,Exit long,Close entry(s) order LONG,2025-06-30 19:45,"107,576.6",8.898955,112.13,0.01%,3137.77,0.33%,-222.47,-0.02%,-42678.84,0.01%
432,Entry long,LONG,2025-06-30 17:50,"107,564.0",8.898955,112.13,0.01%,3137.77,0.33%,-222.47,-0.02%,-42678.84,0.01%
433,Exit long,SHORT,2025-06-30 23:30,"107,246.1",8.911032,-1647.65,-0.17%,3065.4,0.32%,-1782.21,-0.19%,-44326.49,-0.17%
433,Entry long,LONG,2025-06-30 22:55,"107,431.0",8.911032,-1647.65,-0.17%,3065.4,0.32%,-1782.21,-0.19%,-44326.49,-0.17%
434,Exit short,Close entry(s) order SHORT,2025-07-01 00:10,"107,579.8",8.911032,-2973.61,-0.31%,156.83,0.02%,-3553.72,-0.37%,-47300.1,-0.31%
434,Entry short,SHORT,2025-06-30 23:30,"107,246.1",8.911032,-2973.61,-0.31%,156.83,0.02%,-3553.72,-0.37%,-47300.1,-0.31%
435,Exit long,SHORT,2025-07-01 05:55,"107,037.3",8.885816,-1585.23,-0.17%,393.64,0.04%,-1671.42,-0.18%,-48885.33,-0.17%
435,Entry long,LONG,2025-07-01 05:30,"107,215.7",8.885816,-1585.23,-0.17%,393.64,0.04%,-1671.42,-0.18%,-48885.33,-0.17%
436,Exit short,LONG,2025-07-01 07:10,"107,197.3",8.885824,-1421.73,-0.15%,247.91,0.03%,-1421.73,-0.15%,-50307.06,-0.15%
436,Entry short,SHORT,2025-07-01 05:55,"107,037.3",8.885824,-1421.73,-0.15%,247.91,0.03%,-1421.73,-0.15%,-50307.06,-0.15%
437,Exit long,Close entry(s) order LONG,2025-07-01 09:00,"107,171.7",8.859299,-226.8,-0.02%,2680.82,0.28%,-1988.03,-0.21%,-50533.86,-0.02%
437,Entry long,LONG,2025-07-01 07:10,"107,197.3",8.859299,-226.8,-0.02%,2680.82,0.28%,-1988.03,-0.21%,-50533.86,-0.02%
438,Exit short,LONG,2025-07-01 18:30,"106,446.1",8.922237,-272.13,-0.03%,1727.35,0.18%,-1144.72,-0.12%,-50805.99,-0.03%
438,Entry short,SHORT,2025-07-01 17:35,"106,415.6",8.922237,-272.13,-0.03%,1727.35,0.18%,-1144.72,-0.12%,-50805.99,-0.03%
439,Exit long,Close entry(s) order LONG,2025-07-01 19:30,"106,358.1",8.917116,-784.71,-0.08%,1876.16,0.20%,-1231.45,-0.13%,-51590.69,-0.08%
439,Entry long,LONG,2025-07-01 18:30,"106,446.1",8.917116,-784.71,-0.08%,1876.16,0.20%,-1231.45,-0.13%,-51590.69,-0.08%
440,Exit short,Close entry(s) order SHORT,2025-07-01 23:25,"106,099.8",8.979482,-4311.95,-0.45%,140.98,0.01%,-5508.01,-0.58%,-55902.64,-0.45%
440,Entry short,SHORT,2025-07-01 22:15,"105,619.6",8.979482,-4311.95,-0.45%,140.98,0.01%,-5508.01,-0.58%,-55902.64,-0.45%
441,Exit long,Close entry(s) order LONG,2025-07-02 04:50,"105,766.0",8.927541,132.13,0.01%,2811.28,0.30%,-550.83,-0.06%,-55770.51,0.01%
441,Entry long,LONG,2025-07-02 03:50,"105,751.2",8.927541,132.13,0.01%,2811.28,0.30%,-550.83,-0.06%,-55770.51,0.01%
442,Exit long,SHORT,2025-07-02 16:40,"107,478.5",8.890698,11329.42,1.20%,13790.36,1.46%,-530.77,-0.06%,-44441.1,1.20%
442,Entry long,LONG,2025-07-02 11:45,"106,204.2",8.890698,11329.42,1.20%,13790.36,1.46%,-530.77,-0.06%,-44441.1,1.20%
443,Exit short,LONG,2025-07-02 17:10,"107,658.8",8.890698,-1602.99,-0.17%,0.89,0.00%,-1603.88,-0.17%,-46044.09,-0.17%
443,Entry short,SHORT,2025-07-02 16:40,"107,478.5",8.890698,-1602.99,-0.17%,0.89,0.00%,-1603.88,-0.17%,-46044.09,-0.17%
444,Exit long,SHORT,2025-07-02 18:35,"107,565.0",8.860919,-831.15,-0.09%,1250.28,0.13%,-1090.78,-0.11%,-46875.24,-0.09%
444,Entry long,LONG,2025-07-02 17:10,"107,658.8",8.860919,-831.15,-0.09%,1250.28,0.13%,-1090.78,-0.11%,-46875.24,-0.09%
445,Exit short,LONG,2025-07-02 20:10,"107,446.4",8.860919,1050.91,0.11%,3834.12,0.40%,-310.13,-0.03%,-45824.34,0.11%
445,Entry short,SHORT,2025-07-02 18:35,"107,565.0",8.860919,1050.91,0.11%,3834.12,0.40%,-310.13,-0.03%,-45824.34,0.11%
446,Exit long,SHORT,2025-07-03 00:50,"108,830.9",8.880464,12295,1.29%,19927.76,2.09%,-983.96,-0.10%,-33529.34,1.29%
446,Entry long,LONG,2025-07-02 20:10,"107,446.4",8.880464,12295,1.29%,19927.76,2.09%,-983.96,-0.10%,-33529.34,1.29%
447,Exit short,Close entry(s) order SHORT,2025-07-03 01:20,"109,124.7",8.88048,-2609.08,-0.27%,0,0.00%,-3277.79,-0.34%,-36138.42,-0.27%
447,Entry short,SHORT,2025-07-03 00:50,"108,830.9",8.88048,-2609.08,-0.27%,0,0.00%,-3277.79,-0.34%,-36138.42,-0.27%
