Trade #,Type,Signal,Date/Time,Price USDT,Quantity,P&L USDT,P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
679,Entry short,SHORT,2025-04-16 07:00,"83,608.6",5.777671,-1488.91,-0.31%,3147.1,0.65%,-2776.17,-0.57%,-518425.3,-0.31%
680,Exit long,Close entry(s) order LONG,2025-04-17 08:00,"84,176.7",5.742171,1782.37,0.37%,9343.66,1.94%,-3836.34,-0.80%,-516642.94,0.37%
680,Entry long,LONG,2025-04-16 17:30,"83,866.3",5.742171,1782.37,0.37%,9343.66,1.94%,-3836.34,-0.80%,-516642.94,0.37%
681,Exit long,Close entry(s) order LONG,2025-04-20 12:30,"85,115.5",5.668534,-876.92,-0.18%,1869.48,0.39%,-3722.53,-0.77%,-517519.84,-0.18%
681,Entry long,LONG,2025-04-19 16:00,"85,270.2",5.668534,-876.92,-0.18%,1869.48,0.39%,-3722.53,-0.77%,-517519.84,-0.18%
682,Exit long,SHORT,2025-04-21 18:30,"86,779.6",5.702481,12378.38,2.57%,18066.03,3.74%,-210.42,-0.04%,-505141.47,2.57%
682,Entry long,LONG,2025-04-21 03:00,"84,608.9",5.702481,12378.38,2.57%,18066.03,3.74%,-210.42,-0.04%,-505141.47,2.57%
683,Exit short,LONG,2025-04-21 21:30,"88,312.1",5.702475,-8739.04,-1.77%,314.78,0.06%,-9126.24,-1.84%,-513880.53,-1.77%
683,Entry short,SHORT,2025-04-21 18:30,"86,779.6",5.702475,-8739.04,-1.77%,314.78,0.06%,-9126.24,-1.84%,-513880.53,-1.77%
684,Exit long,SHORT,2025-04-22 00:00,"87,131.8",5.504562,-6497.03,-1.34%,584.03,0.12%,-7222.54,-1.49%,-520377.56,-1.34%
684,Entry long,LONG,2025-04-21 21:30,"88,312.1",5.504562,-6497.03,-1.34%,584.03,0.12%,-7222.54,-1.49%,-520377.56,-1.34%
685,Exit short,Close entry(s) order SHORT,2025-04-22 07:00,"87,466.0",5.504562,-1839.62,-0.38%,4430.07,0.92%,-2576.14,-0.54%,-522217.2,-0.38%
685,Entry short,SHORT,2025-04-22 00:00,"87,131.8",5.504562,-1839.62,-0.38%,4430.07,0.92%,-2576.14,-0.54%,-522217.2,-0.38%
686,Exit long,SHORT,2025-04-23 18:30,"93,564.6",5.104184,-212.33,-0.04%,4322.22,0.90%,-1886,-0.39%,-522429.5,-0.04%
686,Entry long,LONG,2025-04-23 12:00,"93,606.2",5.104184,-212.33,-0.04%,4322.22,0.90%,-1886,-0.39%,-522429.5,-0.04%
687,Exit short,LONG,2025-04-24 00:30,"93,719.5",5.104179,-790.64,-0.17%,8506.63,1.78%,-6838.07,-1.43%,-523220.16,-0.17%
687,Entry short,SHORT,2025-04-23 18:30,"93,564.6",5.104179,-790.64,-0.17%,8506.63,1.78%,-6838.07,-1.43%,-523220.16,-0.17%
688,Exit long,Close entry(s) order LONG,2025-04-24 08:00,"93,312.3",5.087295,-2071.55,-0.43%,2332.52,0.49%,-4163.95,-0.87%,-525291.7,-0.43%
